Player 1,Gender,Result,FNL.1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,ST1.1,ST2.1
S Williams,0,1,2,57,44,43,20,9,5,36,35,12,7,13,4,7,6
F Pennetta,0,0,0,44,12,56,7,1,3,19,23,6,5,20,12,4,2
S Williams,0,1,2,63,26,37,9,4,1,19,20,11,5,11,6,6,6
R Vinci,0,0,0,60,21,40,7,0,3,14,28,5,2,34,18,4,1
D Hantuchova,0,0,0,58,14,42,5,3,3,19,18,4,3,10,5,2,3
E Makarova,0,0,1,60,40,40,18,1,4,15,33,6,4,12,7,4,7
A Ivanovic,0,0,1,55,26,45,18,3,8,41,42,13,7,20,8,6,3
A Riske,0,0,1,69,37,31,14,3,1,17,20,2,2,24,12,3,7
S Halep,0,0,0,75,22,25,8,1,1,18,32,10,3,15,10,2,6
C Giorgi,0,0,0,54,18,46,11,2,7,20,35,1,1,16,7,4,2
S Williams,0,1,2,62,26,38,11,6,4,22,13,10,4,13,9,6,6
J Jankovic,0,0,0,66,8,34,3,0,4,7,22,3,2,6,3,3,0
C Suarez Navarro,0,1,2,78,54,22,9,2,1,45,47,19,7,21,14,4,6
A Ivanovic,0,1,2,60,41,40,18,7,5,45,51,11,6,32,18,4,7
C Wozniack,0,0,1,62,34,38,21,2,2,13,27,11,2,10,7,6,4
M Kirilenko,0,0,0,54,9,46,5,1,5,3,24,1,0,8,3,1,0
A Cornet,0,0,1,56,44,44,21,9,10,30,44,6,1,18,13,7,3
K Knapp,0,0,0,58,22,42,8,3,6,17,35,5,3,17,9,4,3
P Kvitova,0,0,0,52,18,48,10,4,7,20,27,0,0,13,8,3,0
S Kuznetsova,0,0,0,55,21,45,10,4,3,24,35,8,1,24,16,5,1
J Glushko,0,0,1,73,43,27,10,1,3,27,32,17,8,20,12,6,5
L Robson,0,0,0,52,16,48,16,0,5,7,30,2,1,5,3,2,5
J Hampton,0,0,0,55,14,45,6,0,1,12,34,7,2,17,11,1,3
S Williams,0,1,2,66,28,44,7,6,1,22,16,8,4,13,10,6,6
A.Radwanska,0,1,2,75,42,25,12,1,1,13,15,5,3,14,7,6,7
E Makarova,0,1,2,61,36,39,15,6,3,24,20,8,3,15,11,6,7
J Zheng,0,0,0,75,27,25,6,0,4,13,33,3,2,13,8,2,4
J Jankovic,0,1,2,52,31,48,12,3,5,20,23,9,6,28,14,6,7
K Kanepi,0,0,0,44,17,56,10,1,9,15,29,1,1,7,6,0,4
F Pennetta,0,1,2,58,24,42,11,7,0,33,19,7,6,21,13,6,6
S Williams,0,1,2,64,21,36,11,4,1,16,13,7,5,8,6,6,6
C Wozniacki,0,1,2,76,22,34,6,0,1,14,11,9,6,9,9,6,6
E Bouchard,0,0,1,47,27,53,27,2,7,41,43,14,6,38,26,4,6
A Wozniak,0,0,0,48,10,52,4,0,8,10,35,5,3,10,5,3,1
C McHale,0,1,2,66,52,34,21,7,5,34,57,10,3,13,6,6,3
A Ivanovic,0,1,2,64,39,36,12,2,4,18,21,6,4,6,5,6,6
P Ormaechea,0,0,0,41,9,59,15,0,4,2,16,6,1,7,1,2,3
A Cornet,0,1,2,56,28,44,12,4,6,19,19,11,6,15,9,6,6
D Hantuchova,0,1,2,46,14,54,18,2,2,10,18,12,5,5,5,6,6
K Nara,0,1,2,80,25,20,8,0,0,12,18,10,6,5,4,7,6
A Riske,0,1,2,62,26,38,11,0,1,18,12,12,4,15,11,6,6
S Kuznetsova,0,1,2,54,39,46,19,5,3,41,39,13,6,34,22,6,4
S Arvidsson,0,0,0,67,18,33,8,1,2,4,19,2,1,3,1,2,2
U Radwanska,0,0,0,67,10,33,7,0,1,5,15,0,0,10,6,1,1
V Williams,0,0,1,52,39,48,26,4,6,29,44,14,4,27,17,3,6
J Hampton,0,1,2,56,27,44,15,1,4,23,33,16,6,11,6,7,6
C Vandeweghe,0,0,0,47,14,53,10,2,5,18,37,2,2,9,7,3,4
L Robson,0,1,2,59,28,41,17,8,2,23,21,2,1,5,4,6,7
A Barty,0,0,0,52,13,48,10,3,2,3,2,0,0,,,4,0
P Kvitova,0,1,2,73,47,27,11,3,4,29,29,11,5,16,13,6,3
C Wozniacki,0,1,2,69,28,31,12,2,3,11,11,14,6,1,1,6,7
D Pfizenmaier,0,0,0,67,17,33,4,3,4,15,27,3,0,4,2,0,0
O Rogowska,0,0,0,47,8,53,4,1,6,13,38,2,0,5,4,0,0
V Duval,0,1,2,63,49,37,19,0,7,23,35,13,6,20,10,5,6
A Ivanovic,0,1,2,62,17,48,11,2,2,16,17,9,7,7,4,6,6
J Goerges,0,0,0,53,32,47,11,3,4,19,33,5,0,15,12,4,3
V Lepchenko,0,0,1,63,38,37,18,2,2,25,55,10,3,17,10,7,2
S Kuznetsova,0,1,2,63,26,37,12,5,1,15,23,11,4,5,4,6,7
B Jovanovski,0,1,2,60,31,40,15,2,5,21,23,9,4,7,6,6,6
S Peng,0,1,2,54,18,46,16,3,0,35,30,14,5,27,18,6,6
A Cornet,0,1,2,53,19,47,18,0,4,8,20,7,4,6,5,6,6
H Watson,0,0,1,54,29,46,16,1,8,23,60,8,5,15,12,6,4
K Flipkens,0,0,0,46,15,54,7,1,6,16,19,8,1,16,13,1,2
A.Radwanska,0,1,2,72,26,28,6,3,0,21,13,8,5,,62,6,6
S Williams,0,1,2,51,13,49,12,1,0,13,8,9,6,8,6,6,6
O Govortsova,0,0,0,68,22,42,6,3,4,11,17,0,0,6,3,2,2
M Minella,0,0,1,65,43,35,18,1,2,15,37,15,4,18,10,6,3
J Jankovic,0,1,2,64,28,36,14,1,2,8,21,3,2,15,9,6,6
L Robson,0,1,2,57,27,43,7,6,8,33,30,14,7,19,10,7,6
J Hampton,0,1,2,61,27,39,13,3,3,28,32,7,4,25,20,6,6
V Dushevina,0,0,0,54,21,46,14,1,5,11,29,7,3,12,6,2,6
P Ormaechea,0,1,2,59,32,41,10,2,5,24,35,13,6,8,5,6,7
K Pliskova,0,0,1,53,48,47,21,6,4,35,51,7,2,23,16,6,4
L Hradecka,0,0,0,49,17,51,4,3,7,20,31,0,0,6,4,1,1
L Davis,0,0,0,63,12,37,3,0,4,6,26,2,0,4,0,0,0
K Mladenovic,0,1,2,51,29,49,15,8,1,49,41,25,7,30,19,6,1
V Azarenka,0,0,1,57,31,43,23,2,7,17,27,8,4,15,10,5,7
V Azarenka,0,1,2,56,21,44,10,0,6,15,25,13,8,30,20,6,6
N Li,0,0,0,63,20,37,10,0,4,8,24,4,1,19,13,0,3
F Pennetta,0,1,2,63,23,37,8,3,3,23,17,12,6,14,7,6,6
V Azarenka,0,1,2,60,20,40,9,1,4,17,15,11,7,13,12,6,6
N Li,0,1,2,68,43,32,14,5,8,44,42,14,7,23,17,6,6
V Azarenka,0,1,2,73,40,27,7,3,9,21,30,19,9,24,16,4,6
D Hantuchova,0,1,2,60,38,40,19,15,2,46,22,7,4,16,12,6,5
F Pennetta,0,1,2,45,23,55,16,2,3,22,23,6,5,22,16,6,7
R Vinci,0,1,2,54,19,46,15,6,0,12,9,8,4,5,4,6,6
S Stephens,0,0,0,66,28,34,8,0,4,15,29,2,1,12,6,4,1
N Li,0,1,2,58,17,42,8,3,2,20,12,7,7,12,10,6,6
A Kerber,0,0,1,68,47,32,12,4,6,30,50,15,7,19,12,6,3
C McHale,0,0,1,64,39,36,14,2,3,22,28,10,5,9,7,6,5
C Giorgi,0,1,2,63,47,37,22,3,4,46,45,9,3,34,27,4,6
S Halep,0,1,2,81,23,19,3,3,1,13,8,7,6,5,4,6,6
V Azarenka,0,1,2,68,48,32,17,2,6,24,38,18,4,30,19,6,6
R Vinci,0,1,2,51,25,49,16,0,0,14,23,16,5,17,12,6,6
A Riske,0,1,2,70,22,30,6,1,2,12,7,9,5,3,3,6,6
F Pennetta,0,1,2,51,26,49,17,0,1,16,13,8,5,14,9,7,6
D Hantuchova,0,1,2,61,41,39,21,1,4,32,58,11,7,35,27,3,7
N Li,0,1,2,65,29,35,10,11,6,23,21,7,4,9,9,6,7
S Stephens,0,1,2,70,25,30,8,2,2,12,15,9,6,8,5,6,6
Y Shvedova,0,0,0,59,14,41,12,0,3,3,21,1,0,13,4,3,1
A Pavlyuchenkova,0,0,0,53,30,47,13,4,3,32,41,10,2,29,19,4,6
S Lisicki,0,0,0,56,28,44,12,7,3,25,30,6,1,11,9,4,5
C Suarez Navarro,0,1,2,79,30,21,5,0,2,13,23,11,5,9,7,6,6
K Nara,0,0,0,81,30,19,5,0,2,28,27,7,5,26,19,4,6
A Kerber,0,1,2,44,17,56,14,2,3,16,9,11,5,6,6,6,6
S Errani,0,0,0,93,16,7,1,0,1,12,18,9,2,16,9,3,1
G Voskoboeva,0,0,0,57,16,43,7,3,3,15,19,1,0,10,5,3,0
C Scheepers,0,0,0,55,12,45,5,0,0,11,27,4,2,18,10,1,2
A Kerber,0,1,2,68,34,32,14,2,3,28,27,18,7,22,15,6,2
V Azarenka,0,1,2,65,25,35,8,3,5,16,19,10,7,8,7,6,6
E Svitolina,0,0,1,59,44,41,20,5,2,27,47,19,2,19,14,4,6
A Dulgheru,0,0,0,79,33,21,5,1,2,10,26,6,0,9,6,2,1
S Lisicki,0,1,2,42,24,58,15,8,6,33,25,6,4,16,7,6,6
A Tomljanovic,0,0,0,55,13,45,9,0,4,14,39,9,2,15,9,2,2
V Duval,0,0,0,74,21,26,6,0,4,14,27,2,2,7,5,2,3
S Cirstea,0,0,0,58,19,42,6,2,2,14,35,4,3,9,5,5,1
M Barthel,0,0,0,57,21,43,15,5,3,18,21,4,1,26,11,4,2
S Peng,0,0,1,71,44,29,14,0,1,22,30,7,3,20,15,1,6
N Li,0,1,2,58,19,42,13,4,1,29,17,10,5,17,12,6,6
S Stephens,0,1,2,67,20,33,8,2,0,24,11,10,5,16,14,6,6
J Zheng,0,1,2,74,49,26,15,1,3,18,31,13,4,16,11,6,2
K Mladenovic,0,0,0,59,30,41,14,5,5,27,46,12,4,12,8,5,4
C Suarez Navarro,0,1,2,82,27,18,7,0,0,6,14,6,4,2,2,6,6
C Garcia,0,0,0,64,31,36,17,7,3,20,23,2,2,10,7,4,6
A Pavlyuchenkova,0,1,2,55,21,45,11,4,2,4,2,5,4,,,6,6
M Doi,0,0,1,58,21,42,17,1,5,15,23,16,2,6,5,2,6
Y Duan,0,0,0,65,24,35,8,0,4,34,46,10,3,9,8,2,5
V Azarenka,0,1,2,51,16,49,12,1,1,14,10,14,6,12,10,6,6
S Errani,0,1,2,69,21,31,7,0,2,7,8,8,6,3,3,6,6
S Stosur,0,0,1,63,45,37,17,9,10,29,56,16,5,22,16,7,4
A Tatishvili,0,0,0,63,13,47,4,0,5,8,22,5,2,5,3,2,0
C McHale,0,1,2,58,28,42,13,1,5,10,13,6,3,7,7,6,6
A Dulgheru,0,1,2,64,51,36,19,0,10,26,42,9,5,19,14,6,6
M Burdette,0,0,0,68,27,32,15,0,3,15,33,1,1,9,5,3,5
A Petkovic,0,0,0,74,25,26,3,4,5,21,40,10,1,10,8,2,4
Y Meusburger,0,0,0,73,24,27,9,0,4,12,17,5,3,11,7,3,4
M Koehler,0,0,0,45,21,55,13,1,8,13,47,4,1,3,3,3,2
S Halep,0,1,2,73,40,27,7,5,6,16,42,13,7,5,3,4,6
V Williams,0,1,2,52,24,48,12,1,5,21,20,12,6,22,15,6,6
S.Soler-Espinosa,0,0,0,50,10,50,10,1,4,9,19,3,1,,34,1,2
F Schiavone,0,0,0,43,8,57,5,0,8,3,18,0,0,6,3,0,1
N Li,0,1,2,62,19,48,13,6,1,28,13,10,4,13,9,6,6
S Stephens,0,1,2,58,48,42,26,6,6,38,55,9,4,19,13,4,6
M Keys,0,0,0,58,19,42,13,4,1,15,32,2,0,13,6,3,4
L Dominguez Lino,0,0,0,60,20,40,8,4,5,10,21,9,3,5,4,5,0
L Arruabarrena,0,0,0,52,16,48,12,1,4,7,18,6,1,8,4,4,2
S Lisicki,0,1,2,43,22,57,22,5,6,30,30,12,5,12,8,6,7
K Date-Krumm,0,0,0,69,28,31,6,0,3,14,43,9,4,14,9,3,6
E Bouchard,0,1,2,72,45,28,16,5,2,26,29,13,3,13,10,4,6
A Kerber,0,1,2,50,16,50,14,0,1,11,6,8,5,6,5,6,6
C Suarez Navarro,0,1,2,78,21,22,4,1,1,9,12,12,6,10,8,6,6
A Medina Garrigues,0,0,1,61,32,39,11,1,2,21,29,13,4,14,7,1,6
